Comment,Designator,Footprint,JLCPCB Part #
10uF,"C1,C2",0805,
100nF,C5,0805,
100nF,"C11,C12",0603,
SS14,D2,SMA,
10k,"R1,R2,R3,R4,R5,R6,R7,R8",0805,
33,R11,0603,
220k,R14,0603,
100k,R15,0603,
10k,"R36,R37",0603,
74AHCT125,U3,SOIC-14_3.9x8.7mm_P1.27mm,
